team_name,cosmos_addr,chain_id,rpc
Bitple,cosmos1vndhkx9sdheewhdg58ug7fy388l8wm689gn7jg,plex-1b,tcp://ibc.j96.me:26657
Protofire,cosmos1y8ejrm82rzaqf5n4n5nx338m6x3u9x082qfqe8,Protofire.io-1b,tcp://3.134.115.80:26657
pupu,cosmos10xq9nh42m7wd79mel9uhae4xqk7yk7yurs5q2v,pupu-1b,tcp://35.230.42.221:26657
Pylons,cosmos1kzukf5nkrrezwxlrxlguxljfy3p4zees9e74wg,pylons-1b,tcp://node.pylons.tech:26657
Meeseeks,cosmos1mhdnss2nd7mx29qnc9gqp4lpxjqdp3j6drhe0v,meeseeks-1b,tcp://validating.for.co.ke:26657
Regen,cosmos1fnlw6290j037gyff6zdy8rzlv88wr9qn3v4l3h,regengoz-1b,tcp://regengoz.vaasl.io:26657
ResponsibleChain,cosmos1dtx6e6we59j03grm55zpc3pymz52msx0hsq8ce,responsible-1b,tcp://95.216.204.82:26657
retz80,cosmos1ud9yn60f9eppkgc7hy6tt8ye9kaga8mtd4e6ep,retz80chain-1b,tcp://tnet-csg.c9ret.xyz:26657
RVC Group,cosmos1qyfu9s408exw2yae0d86m5tupr8q9h8qt4tnge,rvc-1b,tcp://rvc.novy.pw:26657
HashMoney,cosmos178zck85waenzw4mhwchkzw44wst8kqx3he9hzu,seen-1b,tcp://35.222.132.154:26657
Sentinel,cosmos1mcm426eejm5y7dsjvppxfg2dd2uel0gyt8cxxj,sentinel-goz-1b,tcp://one.goz.sentinel.co:26657
astronomia,cosmos1hwux8hlz2xrwggdcltg7net4v7sfjnn76w5ec3,setanchain-1b,tcp://setan.ml:26657
Simply Staking,cosmos1sreeksgvr62zgamuewp0znkta8gdkj7agxdl56,simplystaking-1b,tcp://80.64.211.64:26657
Validatorich,cosmos1mvu547ythhm8c7ew2xnh6d8njhvdljgen3dr65,snakey-1b,tcp://ananas.alpe1.net:26657
SNZPool,cosmos1tstp7pl0fd6zk2v3tzmpq86x8pv29jevyrgswk,SNZPoolHub-1b,tcp://18.136.225.71:26657
